player,team,rnd,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs,cls,kmax,k,d,a,fk,fd
Knight,BLG,78,0.8,147.3,0.67,0.64,96.5,0.51,0.42,0.03,0.06,0.29,0.08,14,40,60,33,2,5
AtaKaptan,FUT,88,0.8,160.8,0.75,0.64,106.3,0.53,0.34,0.05,0.1,0.24,0,15,47,63,30,4,9
MrFaliN,FUT,88,0.78,172.8,0.75,0.7,113.3,0.56,0.35,0.06,0.09,0.25,0.13,16,49,65,31,5,8
nephh,BLG,78,0.77,167,0.68,0.58,106,0.54,0.32,0.05,0.12,0.2,0,13,42,62,25,4,9
JitBoyS,TLN,85,0.76,181.8,0.72,0.72,118,0.59,0.22,0.14,0.07,0.35,0.11,18,50,69,19,12,6
Governor,TLN,85,0.75,183.3,0.76,0.62,120.2,0.59,0.25,0.12,0.18,0.2,0,20,50,66,21,10,15
Boaster,FNC,293,0.71,122.2,0.68,0.7,76.9,0.43,0.32,0.06,0.12,0.25,0.14,16,125,185,95,18,34
Life,FPX,115,0.71,175.8,0.78,0.61,116.3,0.6,0.14,0.13,0.22,0.32,0.13,18,69,89,16,15,25
Lakia,GEN,153,0.61,118.3,0.56,0.69,79.5,0.39,0.3,0.05,0.09,0.23,0.25,16,60,108,46,8,14
Yosemite,BLG,78,0.61,127,0.52,0.55,84.8,0.4,0.23,0.05,0.1,0.25,0,12,31,60,18,4,8
Crws,TLN,85,0.51,133.8,0.57,0.61,91.2,0.45,0.24,0.05,0.14,0.19,0.17,11,38,67,20,4,12
